title,company,location,contract,work_type,posted_relative,raw_content,detail_link
Responsable technico-commercial / technico-commerciale,STE FUTURUM SERVICES,Nabeul,CDI,Temps-plein,Il y a 8 heures,"Référence : 2110/2025/2591 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : STE FUTURUM SERVICES Adresse : AV HBIB BOURGUIBA IMM LATIFA 5EME ETAGE Région : NABEUL Code postal : 8000 Téléphone : 98913584 E-mail : w.jazi@ingeniummasters.com Activité de l'entreprise : COMMERCE DE GROS D'AUTRES MACHINES ET EQUIPEMENTS Domaine : Téléopérateurs, Télémarketing, Télévente Diplôme d'étude : LICENCE / Spécialité d'étude : COMMERCE Profession à exercer : Lieu de travail : SUR TERRAIN Expérience souhaitée : 5 an(s) Nombre de postes proposés : 1 Autres informations : permis de conduite exigé Bureau de l'emploi : NABEUL Région : NABEUL Tel : 72272406 Fax : 72285222 Adresse : 19 RUE KHLIFA HAMROUNI NABEUL 8000 E-mail : STE FUTURUM SERVICES",https://www.optioncarriere.tn/jobad/tna78807a99cd3eda3a45757a02201ffdd
Vendeur / Vendeuse en optique lunetterie,OPTICIENNE MERIEM GHRIB,Nabeul,CDI,Temps-plein,Il y a 8 heures,"Référence : 2110/2025/2593 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : OPTICIENNE MERIEM GHRIB Adresse : RUE MARBELLE NABEUL Région : NABEUL Code postal : 8000 Téléphone : 72272691 Activité de l'entreprise : AUTRES COMMERCES DE DETAIL DE BIENS D'OCCASION Domaine : Commerce, Vente, Publicité, Marketing Niveau : SECONDAIRE, B.T.P Profession à exercer : Lieu de travail : RUE MARBELLE NABEUL Nombre de postes proposés : 1 Bureau de l'emploi : NABEUL Région : NABEUL Tel : 72272406 Fax : 72285222 Adresse : 19 RUE KHLIFA HAMROUNI NABEUL 8000 E-mail : OPTICIENNE MERIEM GHRIB",https://www.optioncarriere.tn/jobad/tn5d2c2604b10a691eefdb8f864e12e847
Enseignant / Enseignante des écoles,CENTRE HANEN BEN SALEM DE COURS PARTICUL,Sfax,CDI,Temps-plein,Il y a 8 heures,"Référence : 6130/2025/480 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : CENTRE HANEN BEN SALEM DE COURS PARTICUL Adresse : EL AMRA ہ COTة METHANI CERAMIQUE Région : SFAX Code postal : 3036 Téléphone : 27721688 Activité de l'entreprise : ENSEIGNEMENT SECONDAIRE (LYCEE - 2EME CYCLE) Domaine : Enseignement, Formation Niveau : BAC ET PLUS SANS DIPLOME Poste proposé : enseignante primaire ( scientifique/ litteraire) Profession à exercer : Lieu de travail : ELAMRA Nombre de postes proposés : 1 Bureau de l'emploi : JBENIANA Région : SFAX Tel : 74880227 Fax : 74880863 Adresse : RUE EL HEDI CHAKER JBENIANA 3080 E-mail : CENTRE HANEN BEN SALEM DE COURS PARTICUL",https://www.optioncarriere.tn/jobad/tn158a5498d28fcdb17e03d0d7f5742693
Technicien / Technicienne en logistique industrielle,CABLISYS TUNISIE,Sousse,CDI,Temps-plein,Il y a 9 heures,"Référence : 5130/2025/2737 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : CABLISYS TUNISIE Adresse : ZONE INDUSTRIELLE Région : SOUSSE Code postal : 4060 Téléphone : 29804372 E-mail : chaima.boufaied@cablisys.com.tn Activité de l'entreprise : FABRICATION D'AUTRES FILS ET CABLES ELECTRONIQUES OU ELECTRIQUES Domaine : Energétique, Génie industriel Niveau : PREMIER CYCLE UNIVERSITAIRE Spécialité d'étude : LOGISTIQUE INDUSTRIELLE Profession à exercer : Lieu de travail : ZONE INDUSTRIELLE Expérience souhaitée : 1 an(s) Nombre de postes proposés : 1 Bureau de l'emploi : HAMMAM SOUSSE Région : SOUSSE Tel : 73361033 Fax : 73361066 Adresse : RUE ABOUJIHED - HAMMAM-SOUSSE 4011 E-mail : CABLISYS TUNISIE",https://www.optioncarriere.tn/jobad/tn735d300f3a5d82ae9ec9a7c127ec1c46
Electricien / Electricienne de maintenance,ComSolutions,Tunis,CDI,Temps-plein,Il y a 9 heures,"Référence : 1120/2025/2583 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : COMSOLUTIONS Adresse : 15 RUE DE LA MECANIQUE EX 8602 CHARGUIA Région : TUNIS Code postal : 2053 Téléphone : 58330247 E-mail : MB@DUOMAGHREB.COM Activité de l'entreprise : AUTRE IMPRIMERIE (LABEUR) Domaine : Mécanique, Maintenance, Soudure Diplôme de la formation professionnelle : B.T.P. Spécialité de la formation professionnelle : ELECTRICIEN EN EQUIPEMENT INDUSTRIEL Profession à exercer : Lieu de travail : 15 RUE DE LA MECANIQUE EX 8602 CHARGUIA Nombre de postes proposés : 4 Bureau de l'emploi : CHARGUIA Région : TUNIS Tel : 71802027 Fax : 71772248 Adresse : 18 RUE DE L'ENEGIE NUCLAIRE CHARGUIA 1 2035 E-mail : ComSolutions",https://www.optioncarriere.tn/jobad/tn68bf0d9611a1233732913441e0906e8f
Conducteur mouleur / Conductrice mouleuse en chocolaterie,SOTUIA,Bizerte,CDI,Temps-plein,Il y a 10 heures,"Référence : 2350/2025/190 (Offre de stage) Date de publication : 24/11/2025 Entreprise : STE SOTUIA - USINE Adresse : NOUVELLE ZONE INDUSTRIELLE UTIQUE Région : BIZERTE Code postal : 7060 Téléphone : 98189108 E-mail : RH@SOTUIA.COM.TN Activité de l'entreprise : FABRICATION DE CACAO, CHOCOLAT ET DE PRODUITS DE CONFISERIE Domaine : Agroalimentaire Niveau : ECOLE DE BASE, C.A.P, APPRENTI Poste proposé : OPERATEURS ET OPERATRICES SUR MACHINES/ EMBALLAGE... Profession à exercer : Lieu de travail : NOUVELLE ZONE INDUSTRIELLE UTIQUE Nombre de postes proposés : 5 Bureau de l'emploi : UTIQUE Région : BIZERTE Tel : 72405533 Fax : 72405588 Adresse : RUE DE LA DELEGATION UTIQUE 7060 E-mail : SOTUIA",https://www.optioncarriere.tn/jobad/tn61952659a8fdcb7b558982ad40b5c912
Manoeuvre manutentionnaire,BAPLAST,Sfax,CDI,Temps-plein,Il y a 10 heures,"Référence : 6140/2025/3259 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : BAPLAST Adresse : Z I OUED CHAABOUNI Région : SFAX Code postal : 3072 Téléphone : 47424424 E-mail : b.baplast@yahoo.fr Activité de l'entreprise : FABRICATION D'EMBALLAGES EN MATIERES PLASTIQUES Domaine : Transport, Logistique, Manutention Niveau : ECOLE DE BASE, C.A.P, APPRENTI Profession à exercer : Lieu de travail : SFAX Nombre de postes proposés : 1 Bureau de l'emploi : SFAX SUD Région : SFAX Tel : 74400428 Fax : 74403042 Adresse : AVENUE 7 NOVEMBRE IMM ELYASMINE SFAX SUD 3027 E-mail : BAPLAST",https://www.optioncarriere.tn/jobad/tn65f904d998326b3e23431f5b8a915126
Secrétaire médical / médicale,SELLAMI ESKANDAR DENTISTE,Sfax,CDI,Temps-plein,Il y a 10 heures,"Référence : 6140/2025/3248 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : SELLAMI ESKANDAR DENTISTE Adresse : AV MAJIDA BOULILA IMM MAYSA ETAG1 Région : SFAX Code postal : 3000 Téléphone : 98652202 Activité de l'entreprise : PRATIQUE DENTAIRE Domaine : Secrétariat Niveau : SECONDAIRE, B.T.P Profession à exercer : Lieu de travail : SFAX Nombre de postes proposés : 1 Bureau de l'emploi : SFAX SUD Région : SFAX Tel : 74400428 Fax : 74403042 Adresse : AVENUE 7 NOVEMBRE IMM ELYASMINE SFAX SUD 3027 E-mail : SELLAMI ESKANDAR DENTISTE",https://www.optioncarriere.tn/jobad/tnfc3828040c29ee194d6c4d3fd9b56229
Assistant / Assistante de direction,TUNFRET,Sousse,CDI,Temps-plein,Il y a 11 heures,Référence : 5130/2025/2735 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : TUNFRET Adresse : AV TAIEB GHACHEM BAB JEDID 5ETG Région : SOUSSE Code postal : 4000 Téléphone : 73227239 E-mail : INFO@TUNFRET.COM Activité de l'entreprise : SERVICES AUXILIAIRES DES TRANSPORTS AERIENS Domaine : Secrétariat Diplôme d'étude : LICENCE / Spécialité d'étude : ASSISTANT DE DIRECTION Profession à exercer : Lieu de travail : AV TAIEB GHACHEM BAB JEDID 5ETG Nombre de postes proposés : 1 Bureau de l'emploi : HAMMAM SOUSSE Région : SOUSSE Tel : 73361033 Fax : 73361066 Adresse : RUE ABOUJIHED - HAMMAM-SOUSSE 4011 E-mail : TUNFRET,https://www.optioncarriere.tn/jobad/tna048d93c9f52a8bce0b22ec32e539dd3
Responsable de centre d'appels,,"Dahmani, Le Kef",CDI,Temps-plein,Il y a 2 heures,"Référence : 3320/2025/197 (Offre de stage) Date de publication : 24/11/2025 Activité de l'entreprise : AUTRES ACTIVITES DE TELECOMMUNICATION Domaine : Téléopérateurs, Télémarketing, Télévente Niveau : ECOLE DE BASE, C.A.P, APPRENTI Profession à exercer : Lieu de travail : RUE HEDI CHAKER Nombre de postes proposés : 2 Bureau de l'emploi : DAHMANI Région : KEF Tel : 78280356 Fax : 78280446 Adresse : AVENUE DE L'ENVIRONNEMENT DAHMANI 7170 E-mail : ANETI",https://www.optioncarriere.tn/jobad/tnd28d0588f692d5387ccc19ca492b2a9f
Ouvrier / Ouvrière du béton,,"Skhira, Sfax",CDI,Temps-plein,Il y a 3 heures,"Référence : 6150/2025/305 (Offre d'emploi) Date de publication : 24/11/2025 Activité de l'entreprise : FABRICATION DE BRIQUES, TUILES ET PRODUITS DE CONSTRUCTION, EN TERRE CUITE Domaine : Architecture, Génie civil, Bâtiment, Hydraulique Niveau : ECOLE DE BASE, C.A.P, APPRENTI Profession à exercer : Lieu de travail : SKHIRA Nombre de postes proposés : 5 Bureau de l'emploi : SKHIRA Région : SFAX Tel : 74667422 Fax : 74667421 Adresse : RUE ALI BELHAOUNE SKHIRA 3050 (IMMEUBLE CHOUKET ISMAIL) E-mail : ANETI",https://www.optioncarriere.tn/jobad/tn5a1b60079630727094790e05eca8dde4
Professeur / Professeure de matières littéraires,,Tataouine,CDI,Temps-plein,Il y a 3 heures,"Référence : 8330/2025/226 (Offre de stage) Date de publication : 24/11/2025 Activité de l'entreprise : ENSEIGNEMENTS DIVERS Domaine : Enseignement, Formation Niveau : BAC ET PLUS SANS DIPLOME Profession à exercer : Lieu de travail : RUE ABDELLATIF DABBEBI REMEADA OUEST Nombre de postes proposés : 1 Bureau de l'emploi : REMADA Région : TATAOUINE Tel : 75867256 Fax : 75867256 Adresse : RUE FARHAT HACHED IMMEUBLE KIWA REMADA 3240 E-mail : ANETI",https://www.optioncarriere.tn/jobad/tn9a81bb5efc39db5bfcd7b8889d3c3d31
Vendeur / Vendeuse en prêt-à-porter,,"Dahmani, Le Kef",CDI,Temps-plein,Il y a 4 heures,"Référence : 3320/2025/194 (Offre de stage) Date de publication : 24/11/2025 Activité de l'entreprise : COMMERCE DE DETAIL D'HABILLEMENT EN MAGASIN SPECIALISE Domaine : Commerce, Vente, Publicité, Marketing Niveau : ECOLE DE BASE, C.A.P, APPRENTI Profession à exercer : Lieu de travail : CITة IBN KHALDOUN DAHMANI 7170 Nombre de postes proposés : 1 Bureau de l'emploi : DAHMANI Région : KEF Tel : 78280356 Fax : 78280446 Adresse : AVENUE DE L'ENVIRONNEMENT DAHMANI 7170 E-mail : ANETI",https://www.optioncarriere.tn/jobad/tndcd9bc23da788286c314cc008c3b2fa7
Pâtissier / Pâtissière,Le Rêve Sucré,Nabeul,CDI,Temps-plein,Il y a 6 heures,"Référence : 2120/2025/2052 (Offre d'emploi) Date de publication : 24/11/2025 Activité de l'entreprise : PATISSERIE (EXCLUSIVE) Domaine : Commerce, Vente, Publicité, Marketing Diplôme de la formation professionnelle : B.T.P. Spécialité de la formation professionnelle : PATISSIER Profession à exercer : Lieu de travail : AVE FARHAT HACHED ML.BOUZELFA Expérience souhaitée : 1 an(s) Nombre de postes proposés : 1 Bureau de l'emploi : GROMBALIA Région : NABEUL Tel : 72255209 Fax : 72213016 Adresse : 2 RUE 2 MARS 1934 GROMBALIA 8030 E-mail : ANETI",https://www.optioncarriere.tn/jobad/tn431240597afaae7c8a535d664786cdc3
Secrétaire de direction,STE AGRICOLE SIDI SAAD SADIRA,Tunis,CDI,Temps-plein,Il y a 7 heures,"Référence : 1140/2025/3022 (Offre de stage) Date de publication : 24/11/2025 Activité de l'entreprise : ACTIVITE DES MEDECINS SPECIALISTES Domaine : Secrétariat Niveau : SECONDAIRE, B.T.P Poste proposé : secretaire dentaire ligible CIVP Profession à exercer : Lieu de travail : 17 AVENUE KHALED IBN WALID L'AOUINA Expérience souhaitée : 1 an(s) Nombre de postes proposés : 1 Bureau de l'emploi : GOULETTE Région : TUNIS Tel : 71731568 Fax : 71734763 Adresse : 2 RUE DOCTEUR SKOLLI KHEIREDDINE 2060 E-mail : ANETI",https://www.optioncarriere.tn/jobad/tn84f71bf12bf646e6e49710c736504336
Secrétaire commercial / commerciale,CABINET MEDECINE DENTAIRE DAKHLAOUI KAIS,"Hammamet, Nabeul",CDI,Temps-plein,Il y a 7 heures,"Référence : 2140/2025/1983 (Offre de stage) Date de publication : 24/11/2025 Activité de l'entreprise : ACTIVITES DES AGENCES DE VOYAGE Domaine : Téléopérateurs, Télémarketing, Télévente Niveau : PREMIER CYCLE UNIVERSITAIRE Spécialité d'étude : COMMERCE Poste proposé : secretaire / agent devoyages Profession à exercer : Lieu de travail : HAMMAMET Nombre de postes proposés : 1 Bureau de l'emploi : HAMMAMET Région : NABEUL Tel : 72283364 Fax : 72279494 Adresse : 53 AV EL AKABA EL HECHIMIA-HAMMAMET 8050 E-mail : ANETI",https://www.optioncarriere.tn/jobad/tn2c13e51395814496bc48840413cb2279
Laveur / Laveuse de véhicules automobiles,,"Dahmani, Le Kef",CDI,Temps-plein,Il y a 7 heures,"Référence : 3320/2025/196 (Offre de stage) Date de publication : 24/11/2025 Activité de l'entreprise : COMMERCE DE DETAIL DE CARBURANTS EN MAGASIN SPECIALISE Domaine : Mécanique, Maintenance, Soudure Niveau : ECOLE DE BASE, C.A.P, APPRENTI Profession à exercer : Lieu de travail : RUE 2 MARS Nombre de postes proposés : 1 Bureau de l'emploi : DAHMANI Région : KEF Tel : 78280356 Fax : 78280446 Adresse : AVENUE DE L'ENVIRONNEMENT DAHMANI 7170 E-mail : ANETI",https://www.optioncarriere.tn/jobad/tn806d08c43ef0c94663804524a116f5a4
Aide à domicile,COMPAGNIE TUNISIENNE EL ATHIR EX COMPAGN,Ben Arous,CDI,Temps-plein,Il y a 8 heures,"Référence : 1320/2025/1940 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : SERVICE DOMESTIQUE OU PERSONNALISE Adresse : 0 Région : BEN AROUS Code postal : 2050 Activité de l'entreprise : ACTIVITES DES MENAGES EN TANT QU'EMPLOYEURS DE PERSONNEL DOMESTIQUE Domaine : Services aux personnes et aides à domicile Niveau : ECOLE DE BASE, C.A.P, APPRENTI Poste proposé : FEMME DE MENAGE DANS UN APPARTEMENT A BOUMHEL FAISANT PARTIE DE L'AGENCE IMMOBILIERE HERMES IMMO Profession à exercer : Lieu de travail : BOUMHEL Nombre de postes proposés : 1 Bureau de l'emploi : HAMMAM-LIF Région : BEN AROUS Tel : 79218261 Fax : 79219360 Adresse : 41 AV 7 NOVEMBRE HAMMAM-LIF 2050 E-mail : ANETI",https://www.optioncarriere.tn/jobad/tne8e48d32f01b89fdb543792e00e334e1
Technicien / Technicienne de laboratoire de contrôle en industrie alimentaire,LABVET INTERNATIONAL,"Soliman, Nabeul",CDI,Temps-plein,Il y a 10 heures,"Référence : 2120/2025/2050 (Offre d'emploi) Date de publication : 24/11/2025 Activité de l'entreprise : FABRICATION DE CONDIMENTS ET ASSAISONNEMENTS Domaine : Energétique, Génie industriel Niveau : PREMIER CYCLE UNIVERSITAIRE Spécialité d'étude : AGROALIMENTAIRE Profession à exercer : Lieu de travail : EN FACE INTERWASHING SOLIMAN Expérience souhaitée : 1 an(s) Nombre de postes proposés : 1 Bureau de l'emploi : GROMBALIA Région : NABEUL Tel : 72255209 Fax : 72213016 Adresse : 2 RUE 2 MARS 1934 GROMBALIA 8030 E-mail : ANETI",https://www.optioncarriere.tn/jobad/tn9d2728aa4b17759f4f24982eb13a762c
Animateur / Animatrice d'enfants,"JARDIN ENF RAID CRECHE, JARDIN ENFANTS,",Tunisie,CDI,Temps-plein,Il y a 3 heures,"Référence : 8240/2025/559 (Offre de stage) Date de publication : 24/11/2025 Entreprise : JARDIN ENF RAID CRECHE, JARDIN ENFANTS, Adresse : RTE SAYAH Région : MEDNINE Code postal : 4160 Téléphone : 26434009 Activité de l'entreprise : ENSEIGNEMENT SECONDAIRE (COLLEGE - 1ER CYCLE) Domaine : Services Sociaux, Animation jeunesse et enfance, Sports et loisirs Niveau : ECOLE DE BASE, C.A.P, APPRENTI Profession à exercer : Lieu de travail : BENGUERDANE Nombre de postes proposés : 1 Bureau de l'emploi : BEN GUERDANE Région : MEDNINE Tel : 75710066 Fax : 75718880 Adresse : AVENUE MONGI SLIM ROUTE ELOURASSNIA BP355-BEN GUERDANE 4160 E-mail : JARDIN ENF RAID CRECHE, JARDIN ENFANTS,",https://www.optioncarriere.tn/jobad/tn81e051edd8e018999b182b1163eb708e
Télévendeur(e)s francophones Salaire Fixe 1350 dt en Net + des primes,Sphere tech,Tunis,1 350 DT par mois,CDI,Il y a 6 heures,Nous recrutons des télévendeurs francophones motivés et dynamiques ! Votre mission : Gérer des appels sortants pour la vente directe de solutions financières et numériques sur le marché français Maîtriser l’art de la persuasion et de la négociation. Clôturer efficacement les ventes. Ce que nous offrons : Salaire fixe de 1350 DT (net) +des primes attractives et non plafonnées. Formation complète pour vous garantir le succès. Challenges hebdomadaires avec des récompenses. Environnement dynamique et réelles opportunités d’évolution. Date d'expiration 24/12/2025 Tanitjobs,https://www.optioncarriere.tn/jobad/tne9cc3b48e13d0bcd1e58ab19f38e4b83
Data Analyst confirmé,Limea,Tunis,4 000 DT par mois,CDI,Il y a 6 heures,"LIMEA recherche pour le compte de son client, basé à Tunis, un Data Analyst confirmé pour un démarrage prévu en décembre 2025 ou janvier 2026 (possibilité plus tôt si disponibilité). Contexte et objectif : Notre client renforce son équipe Data dans le cadre de projets stratégiques et recherche un profil expérimenté capable de manipuler et valoriser la donnée au-delà des usages classiques (Excel).Vos missions principales : Manipuler, structurer et analyser de grands volumes de données pour générer des insights fiables. Développer des scripts et automatisations (Python, outils de data engineering/visualisation type Air ou équivalents). Participer à l’amélioration continue des outils et process data internes. Produire des reportings et dashboards pertinents pour aider à la prise de décision. Collaborer avec les équipes métiers et techniques pour répondre rapidement aux besoins en analyses. Profil recherché : Minimum 4 ans d’expérience en tant que Data Analyst (profils juniors sortis d’école non considérés). Solides compétences en manipulation et traitement de données. Maîtrise d’outils avancés (au-delà d’Excel), notamment Python et autres solutions data. Anglais et/ou arabe tunisien suffisent (le français n’est pas indispensable). Autonomie, rigueur et esprit d’analyse. Conditions de la mission : Localisation : Tunis. Salaire : 3 000 – 4 000 DT / mois selon expérience. Date d'expiration 24/12/2025 Tanitjobs",https://www.optioncarriere.tn/jobad/tn491098131e66a46bf94daf8ca63a47a7
Directeur Financier,Sotufab,"Bennane, Monastir",CDI,Temps-plein,Il y a 1 heure,"Gérer les opérations financières. Envoyer les reportings financiers périodiques. Suivre toutes les opérations comptables. Assister à l’élaboration du budget annuel. Participer aux arrêtés mensuels et justifications des comptes généraux. Analyser les écarts, préconiser des solutions. Veiller au respect des procédures d’exécution des dépenses. Informer et conseiller la Direction en matière de contraintes fiscales et comptables. Négocier et gérer les achats de l’entreprise. Gérer la trésorerie et les relations avec les banques. Établir les déclarations sociales annuelles Exigences de l'emploi Coordination avec les différents services de l'entreprise. - Recouvrement - Gérer la trésorerie et les financements, la relation avec les tiers : les Banquiers, les Commissaires aux comptes, etc Date d'expiration 24/12/2025 Tanitjobs",https://www.optioncarriere.tn/jobad/tn04c8f0cd30ca2550cf62fdb837e15aaf
Technicien de Maintenance mecanique,STE fathi ben slimene,Nabeul,CDD,Temps-plein,Il y a 1 heure,"Assurer la maintenance, le diagnostic et la réparation des outils électriques commercialisés par l’entreprise (meuleuses, perceuses, marteaux, scies, mélangeurs…), et garantir un service après-vente rapide, fiable et professionnel pour les clients distributeurs. Mob : 28102402 Mail : mail : Exigences de l'emploi Diplôme en maintenance industrielle ou électromécanique. Expérience en réparation d’outils électriques portatifs hautement souhaitée. Sérieux, organisé, réactif et capable de travailler sous pression. Sens du service et respect des délais. Date d'expiration 24/12/2025 Tanitjobs",https://www.optioncarriere.tn/jobad/tn5ae9ba4cbb7759b5d8057403f625695e
responsable depot Gafsa,rosman clean power,Gafsa,CDI,Temps-plein,Il y a 1 heure,"Missions principales : Assurer la gestion quotidienne du dépôt (réception, stockage, préparation et expédition des marchandises). Organiser et optimiser l’espace de stockage pour garantir la bonne circulation des produits. Superviser l’inventaire et assurer la fiabilité des stocks. Mettre en place et suivre les procédures de sécurité et d’hygiène. Veiller à la maintenance du matériel de manutention et des infrastructures du dépôt. Établir des rapports réguliers sur l’activité du dépôt (entrées/sorties, anomalies, écarts d’inventaire). Compétences requises : Maîtrise des techniques de gestion de stock et de logistique. Connaissance des outils informatiques (Excel, logiciels de gestion/ERP). Sens de l’organisation et de la rigueur. Capacité à manager une équipe. Réactivité et aptitude à résoudre les problèmes rapidement. Profil recherché : Bac +2/3 en logistique, gestion ou équivalent. Expérience confirmée dans la gestion d’un dépôt ou d’un magasin. Leadership, autonomie et sens des responsabilités. Date d'expiration 24/12/2025 Tanitjobs",https://www.optioncarriere.tn/jobad/tneeff7185a2d82acb254c4889b43a05f4
aide Comptable,Annonyme,Sfax,CDI,Temps-plein,Il y a 1 heure,"Sous la supervision du comptable, vous participerez aux opérations comptables courantes et contribuerez à la fiabilité des enregistrements financiers de la société. Missions principales : - Saisir et classer les pièces comptables (factures, notes de frais, relevés bancaires, etc.) - Participer aux travaux de rapprochement bancaire - Contribuer à la préparation des déclarations fiscales et sociales ; - Participer au suivi des règlements. - Participer à la gestion administrative liée à la comptabilité (archivage, suivi des fournisseurs, etc.) Exigences de l'emploi - Eligible CIVP - Bac+3 ou plus en comptabilité - Disponibilité immédiate - Bonnes connaissances en matière de comptabilité - Une bonne maîtrise du français - Première expérience souhaitée en comptabilité - Rigueur, organisation et sens de la confidentialité. - Esprit d’équipe et capacité à respecter les délais. Date d'expiration 24/12/2025 Tanitjobs",https://www.optioncarriere.tn/jobad/tn8d47be49acfd20478aa7412da633caf8
Responsable Commercial - Produits Élaborés,STE GHRAIEB DE NUTRITION,"M'saken, Sousse",CDI,Temps-plein,Il y a 1 heure,"Définir et mettre en œuvre la stratégie commerciale pour les produits élaborés ( volaille set dérivés). Prospecter de nouveaux marchés et développer le portefeuille clients (grande distribution, restauration, grossistes). Négocier les contrats commerciaux et assurer le suivi des ventes. Analyser les tendances du marché et proposer des actions marketing adaptées. Encadrer et animer l’équipe commerciale afin d’atteindre les objectifs fixés. Assurer un reporting régulier auprès de la direction générale. Exigences de l'emploi Formation Bac+3/5 en commerce, ingénieur en agroalimentaire ou technicien supérieur en agroalimentaire. Expérience confirmée (minimum 5 ans) dans la vente de produits agroalimentaires, idéalement élaborés. Excellentes compétences en négociation et en communication. Sens de l’organisation, leadership et capacité à travailler en équipe. Maîtrise des outils informatiques et des logiciels de gestion commerciale. Date d'expiration 24/12/2025 Tanitjobs",https://www.optioncarriere.tn/jobad/tn84e5ce7e613c4cc62cff9137c16f069d
Télévendeur(e)s Germanophone Deutschsprachige Person,Sphere tech,Tunis,CDI,Temps-plein,Il y a 1 heure,"Description de l'emploi 1. Consultation des clients : S'engager avec les clients allemand pour comprendre leurs objectifs commerciaux, leurs défis et leurs exigences. Fournir des conseils d'experts sur la manière dont nos solutions d'externalisation peuvent répondre à leurs besoins et ajouter de la valeur à leurs opérations. 2. Stratégie de vente : Développer et mettre en œuvre des stratégies de vente efficaces pour acquérir de nouveaux clients et étendre notre présence sur le marché allemand. Collaborer avec l'équipe de vente pour identifier les opportunités, générer des leads et conclure des affaires. 3. Gestion des relations : Cultiver des relations solides et durables avec les clients en faisant preuve d'une compréhension approfondie de leurs activités et en agissant en tant que conseiller de confiance. Communiquer régulièrement avec les clients pour s'assurer de leur satisfaction, répondre à leurs préoccupations et identifier les opportunités de vente incitative ou croisée. 4. Analyse du marché : Se tenir informé des tendances du secteur, de l'évolution du marché et des activités des concurrents. Utiliser la connaissance du marché pour identifier les opportunités potentielles de croissance et affiner les stratégies de vente en conséquence. 5. Collaboration : Travailler en étroite collaboration avec les équipes internes, y compris les opérations, le marketing et l'assistance à la clientèle, afin d'assurer une prestation de services et d'assistance sans faille aux clients. Fournir aux équipes internes un retour d'information de la part des clients afin de favoriser l'amélioration continue et l'innovation. Date d'expiration 24/12/2025 Tanitjobs",https://www.optioncarriere.tn/jobad/tn8bc3b81d1b7325575bad7afad555bcd4
une agent de comptoir,DAILY TRAVEL,Tunis,CDI,Temps-plein,Il y a 1 heure,"une agent de comptoir: Missions principales Accueil et conseil : Accueillir les clients, écouter leurs besoins et les conseiller sur les produits ou services. Vente : Proposer des offres, réaliser des devis et vendre des séjours, etc.. Gestion administrative : Gérer les réservations, traiter les paiements et émettre les factures. Support client : Répondre aux questions, gérer les problèmes et les plaintes, et assister les clients pendant leur séjour ou utilisation du service. Exigences de l'emploi Qualités requises Excellent sens du contact et de la communication. Dynamisme et réactivité. Capacité d'écoute et de conseil. Organisation et gestion des tâches. Disponibilité Date d'expiration 24/12/2025 Tanitjobs",https://www.optioncarriere.tn/jobad/tn39ab27e3512a4263249af9ec2e62d9d8
Développeurs seniors,Limea,Tunis,CDI,Temps-plein,Il y a 1 heure,"LIMEA recherche pour le compte de son client, basé à Tunis, deux développeurs seniors (10 ans d’expérience minimum) pour un projet stratégique de développement logiciel interne. Contexte du projet : Notre client lance la mise en place d’un logiciel interne clé, actuellement en phase de développement. L’équipe a besoin d’être renforcée par des profils confirmés capables d’apporter structure, expertise et efficacité pour accélérer la réussite du projet. Vos missions principales : Améliorer la qualité et la robustesse du code : gestion des erreurs, optimisation des performances, mise en place de bonnes pratiques. Fiabiliser et documenter l’existant pour faciliter la maintenance et garantir la continuité. Contribuer à l’architecture technique et proposer des solutions adaptées aux enjeux data et infrastructure. Encadrer et accompagner les développeurs juniors, assurer un rôle de mentor et de référent technique. Assurer un rôle de “backup technique” et sécuriser les livrables dans un environnement en évolution rapide. Profil recherché : Plus de 10 ans d’expérience en développement logiciel, avec une forte expertise en data management / data science. Capacité à intervenir aussi bien sur la partieconception/architecture que sur la partie implémentation opérationnelle. Pragmatique, autonome, et orienté résultats. Aisance dans un rôle de soutien technique et d’accompagnement d’équipe. Conditions de la mission : Poste basé à Tunis. Organisation hybride : 2 jours télétravail / 3 jours sur site (flexibilité selon résultats). Salaire attractif : 5 000 – 7 000 DT / mois selon profil. Démarrage prévu : décembre 2025 Date d'expiration 24/12/2025 Tanitjobs",https://www.optioncarriere.tn/jobad/tn96114cd188ecf166dbfc91f57e4e0af9
